Year,school_id,School_Name,Report_Type,Number_Students_Served_Full_Year,Percent_Students_Attending_at_Least_90_Percent,Percent_Students_Receiving_Zero_Out_of_School_Suspensions,Percent_Teachers_Attending_at_Least_90_Percent,Percent_Teachers_Rated_Distinguished,Rated_as_Proficient,Admission_Type,October_1_Enrollment,PSSA_ELA_Percent_Students_Below_Basic_Grade_3,PSSA_ELA_Percent_Students_Below_Basic_Grades_3_to_8,PSSA_ELA_Percent_Students_Proficient_or_Advanced_Grade_3,PSSA_ELA_Percent_Students_Proficient_or_Advanced_Grades_3_to_8,PSSA_Math_Percent_Students_Below_Basic_Grade_3,PSSA_Math_Percent_Students_Below_Basic_Grades_3_to_8,PSSA_Math_Percent_Students_Proficient_or_Advanced_Grade_3,PSSA_Math_Percent_Students_Proficient_or_Advanced_Grades_3_to_8,PSSA_Science_Percent_Students_Below_Basic_Grades_4_to_8,PSSA_Science_Percent_Students_Proficient_or_Advanced_Grades_4_to_8,Percent_Metrics_Improving_All_Students,Year_to_Year_Teacher_Retention
2022-2023,7200,Clara Barton School,Elementary School,579,64.4,100,81.6,45.5,54.6,Catchment,522,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Insufficient Data for Score,94.9
2022-2023,7220,Laura H. Carnell School,Elementary School,817,56.7,97.8,73.3,0,93.1,Catchment,706,33.3,43.5,18.3,16.7,53.6,62.6,18.6,13.9,43.2,20,84.6,77.8
2022-2023,7260,Ellwood School,Elementary School,299,69.2,99.7,90,5.6,94.4,Catchment,278,36,28.9,30,23.7,68.5,62,16.7,11,25,39.6,76.9,86.4
2022-2023,7310,Feltonville Intermediate School,Elementary School,573,71.4,98.1,65.7,4.2,95.8,Catchment,525,43.8,38.4,15.7,18.8,63.4,60.2,16.3,13.8,30.5,33.1,61.5,77.1
2022-2023,7320,Julia W. Howe School,Elementary School,233,61.8,99.6,87,0,94.4,Catchment,206,26.7,38.1,40,26.2,46.7,59.5,20,17.9,28.6,35.7,100,91.7
2022-2023,7330,Henry W. Lawton School,Elementary School,639,63.2,98.6,87.8,0,94.3,Catchment,564,37.4,35.6,20.5,22.6,61.6,58.3,11.6,15.3,23.6,38.9,69.2,81.4
2022-2023,7350,James R. Lowell School,Elementary School,551,63.9,99.3,77.8,3.6,85.7,Catchment,494,30.8,39,25.6,19.2,64.3,59.3,11.9,11.9,22.9,43.8,84.6,68.4
2022-2023,7360,John Marshall School,Elementary School,323,40.3,92.3,69.2,5.6,83.3,Catchment,241,47.4,54.9,15.8,11.5,59.5,77.2,10.8,5.7,37.2,18.6,46.2,85.2
2022-2023,7380,Alexander K. McClure School,Elementary School,529,53.9,97,64.9,0,100,Catchment,476,58.7,56.9,6.4,9.5,85.9,76.4,3.1,4.3,34.7,29.2,46.2,68.4
2022-2023,7430,James J. Sullivan School,Elementary School,492,43.3,97.6,55.6,3.9,96.2,Catchment,405,48.3,51.8,10.3,14.2,69.5,69.4,10.2,9.2,27.7,21.5,84.6,73.5
2022-2023,7440,Bayard Taylor School,Elementary School,435,47.8,99.1,90.2,3,97,Catchment,385,46.7,47,10,9.8,78.3,71.3,1.7,4.8,17,41.5,46.2,85.7
2022-2023,7490,Prince Hall School,Elementary School,416,63,98.8,82.8,0,100,Catchment,379,24.3,35.8,31.1,22.3,66.7,65.5,16,10.8,23,37.7,92.3,79.3
2022-2023,7530,William Rowen School,Elementary School,373,58.7,99.2,70.8,0,100,Catchment,324,37.5,25.8,21.4,28.3,53.6,52.8,14.3,13.2,10.7,53.6,69.2,75
2022-2023,8230,Kennedy C. Crossan School,Elementary School,350,70.9,98.3,95.5,10.5,89.5,Catchment,314,34.7,24.1,24.5,38.3,58,41.3,24,30.1,13.6,63.6,53.9,87
2022-2023,8250,Edwin Forrest School,Elementary School,881,54.7,98.9,76.8,4,96,Catchment,782,29.2,32.4,23.3,24.4,58.7,54,16.5,16.7,25.4,39.8,69.2,80.3
2022-2023,8260,Fox Chase School,Elementary School,499,74.6,99.2,91.9,16,84,Catchment,446,9.9,16.2,57.8,47.7,23.3,28.7,43.8,38.6,12.7,68.3,76.9,77.1
2022-2023,8310,J. Hampton Moore School,Elementary School,1240,68.8,99.4,90.8,51.7,48.3,Catchment,1131,28.2,26.8,31.3,35.3,47.3,46.2,28.5,25.5,21.1,48.1,38.5,89.3
2022-2023,8340,Solomon Solis-Cohen School,Elementary School,1362,67.6,99.3,86.8,0,100,Catchment,1249,37.1,38.9,19.1,24.3,53.4,53.3,18.1,19.2,30.9,33.8,61.5,91.6
2022-2023,8360,Rhawnhurst School,Elementary School,672,68.5,100,88.9,3.2,96.8,Catchment,601,31.1,29.6,36.7,39.3,45.5,41.4,36.4,34.6,11.4,62,46.2,91.9
2022-2023,8370,Watson Comly School,Elementary School,620,80.2,99.5,87.2,34.6,65.4,Catchment,563,15.3,14.9,52.9,50,19.4,22.1,51.6,47.2,5.9,74.1,61.5,80
2022-2023,8400,Anne Frank School,Elementary School,1529,81,100,87.3,64.2,35.8,Catchment,1343,12,11.5,54.6,62.2,18.1,16.4,52,54.5,11.3,74.5,69.2,93.5
2022-2023,8440,William H. Loesche School,Elementary School,1130,82,99.7,80.8,14.1,85.9,Catchment,972,22.1,17.9,49.3,52.7,25,20.6,51.2,50.9,12.1,58.9,69.2,91.6
