Year,School_ID,School_Name,Report_Type,Admission_Type,Number_Students_Served_Full_Year,October_1_Enrollment,Percent_11th_Grade_Students_Proficient_All_Three_Keystones,Percent_11th_Grade_Students_Below_Basic_Keystone_Algebra_I,Percent_11th_Grade_Students_Proficient_Keystone_Algebra_I,Percent_11th_Grade_Students_Below_Basic_Keystone_Biology,Percent_11th_Grade_Students_Proficient_Keystone_Biology,Percent_11th_Grade_Students_Below_Basic_Keystone Literature,Percent_11th_Grade_Students_Proficient_Keystone_Literature,Percent_12th_Grade_CTE_Students_Meeting_Industry_Standards,Ninth_Grade_On_Track_Rate,Percent_Metrics_Improving_All_Students,Percent_Students_Attending_at_Least_90_Percent,Number_Dropouts_Grades_7_to_12,Percent_Students_Receiving_Zero_Out_of_School_Suspensions,Percent_Students_Completing_the_FAFSA_by_End_of_12th_Grade,First_Fall_Matriculation,Four_Year_Cohort_Graduation_Rate,Percent_Teachers_Attending_at_Least_90_Percent,Percent_Teachers_Rated_Distinguished,Percent_Teachers Rated as Proficient,Year_to_Year_Teacher_Retention
2022-2023,4020,Overbrook High School,High School,Catchment,493,386,1.9,48.1,3.9,61.4,18.2,36.2,38.3,Insufficient Sample,82.3,91.7,26.8,25,88.2,21.1,23.1,81.5,84,0,100,68
2022-2023,4030,High School of Engineering and Science,High School,Criteria-Based,807,802,35.8,1.8,62,10.6,45.3,0,93.3,Insufficient Sample,95.8,33.3,83.4,3,98.5,51.7,83.4,100,90.2,44.2,55.8,86.3
2022-2023,4060,Murrell Dobbins Career and Technical High School,High School,Citywide,913,890,0.6,64.3,4.8,80.5,2.6,46,16.8,39.1,70.8,30.8,32.6,59,85.5,31.7,26.2,80.2,77.3,2.3,90.7,70.8
2022-2023,4140,Strawberry Mansion High School,High School,Catchment,286,201,0,65.2,13,Insufficient Sample,Insufficient Sample,52.4,19.1,Insufficient Sample,61.5,44.4,22.4,12,89.5,10.4,19.2,66.1,85.2,16.7,83.3,73.1
2022-2023,5020,Thomas A. Edison High School,High School,Catchment,1066,880,1.7,53.7,13.9,67.1,6.8,48.9,17.4,31.3,57.6,46.2,25.9,101,84,12.2,16.7,60.6,85,1.9,92.5,72.1
2022-2023,5050,Philadelphia Military Academy,High School,Citywide,345,336,0,38.1,7.9,45,3.3,15,33.3,Insufficient Sample,74.4,16.7,45.2,16,83.8,43.1,29.3,85.9,80,0,100,76.2
2022-2023,5060,Jules E. Mastbaum Area Vocational Technical High School,High School,Citywide,603,570,6.7,51.1,6.7,51.2,17.9,28.2,31.8,49.4,62.2,53.9,34.7,60,85.6,21.4,20.3,81.2,86,0,100,86.5
2022-2023,5070,Parkway Northwest High School,High School,Criteria-Based,263,258,0,52.6,1.8,45.6,5.3,14.8,55.7,Insufficient Sample,77.6,50,75.7,8,87.1,34.6,48,100,88.2,6.7,93.3,77.8
2022-2023,5080,Parkway Center City Middle College High School,High School,Criteria-Based,438,436,23.6,4.9,45.1,8.5,34.9,0,90.6,Insufficient Sample,94.5,25,82,14,99.5,53.6,80.4,92.4,100,20,80,95.2
2022-2023,5090,Parkway West High School,High School,Criteria-Based,242,227,0,35,2.5,33.3,25.6,8.1,46,93.8,37.5,53.9,52.1,12,93.8,44.1,55.8,91.1,82.4,0,100,75
2022-2023,5150,William W. Bodine High School,High School,Criteria-Based,559,547,14.3,21.1,30.1,34.1,26.8,0.7,78.7,Insufficient Sample,78.4,33.3,78.4,16,96.4,43,69.1,96.5,96.9,17.9,82.1,82.4
2022-2023,5160,Penn Treaty High School,High School,Catchment,359,324,0,52.6,5.3,54.1,8.1,34.2,26.3,Insufficient Sample,64.7,25,30.6,25,91.1,39.4,39.5,58.8,78.1,0,97.1,71.1
2022-2023,5180,Vaux High School: A Big Picture,High School,Catchment,314,269,0,64.9,7,85.5,0,56.4,12.7,Insufficient Sample,75,80,33.8,16,88.5,3.3,35.6,81.7,91.3,10.5,84.2,69.6
2022-2023,5520,Kensington High School for Creative and Performing Arts,High School,Catchment,510,470,2.7,56.8,10.8,63.8,5.8,33.9,29.2,Insufficient Sample,78.6,41.7,30.8,39,88,33,27.5,66.1,77.1,13.6,86.4,81.6
2022-2023,5550,Kensington Health Sciences Academy,High School,Catchment,478,434,2,51,3.1,43.8,10.4,22.3,39.4,26.5,71,53.9,42.5,19,89.8,45.9,48.2,78.3,94.6,30,70,92.5
2022-2023,5610,Building 21,High School,Citywide,404,389,0,69.9,2.7,90,0,29,19.7,Insufficient Sample,79.6,33.3,68.3,15,93.8,34.8,40.9,94.4,91.3,0,100,64
2022-2023,5620,The U School,High School,Citywide,238,229,0,32.4,2.9,62.1,3.5,14.7,41.2,5,60.6,75,32.4,13,93.3,34.8,35.6,86,85,11.8,88.2,63.6
2022-2023,5660,The LINC,High School,Citywide,233,220,0,38.5,11.5,65.4,0,14.8,7.4,Insufficient Sample,64.4,41.7,49.8,10,87.1,36.4,44.8,81.6,94.4,7.1,85.7,79
2022-2023,5700,Kensington High School,High School,Catchment,560,459,5.5,38,14.1,52.9,13.2,27.7,38.5,11.5,52.5,69.2,27.1,41,97.1,27.3,Insufficient Sample,64.6,85.1,22,75.6,87.2
2022-2023,6010,Central High School,High School,Criteria-Based,2370,2365,69.4,0.6,88.2,1.3,80.2,0.4,98.4,Insufficient Sample,87,16.7,92.7,21,99.2,54.3,86.5,98.1,94.6,20.6,78.4,91.5
2022-2023,6030,Roxborough High School,High School,Catchment,817,708,2.9,50.5,6.1,58.3,5.2,22,34,28.1,60.8,69.2,33.9,55,78.7,19.8,28.1,64.5,77.6,3.5,91.4,88.7
2022-2023,6040,Walter B. Saul High School,High School,Criteria-Based,512,503,6.1,42.1,6.1,33.6,32.7,6.1,62.6,59.3,74.8,41.7,64.7,10,92,52.5,56.4,96.7,91.2,0,96.8,85.7
2022-2023,6050,Philadelphia High School for Girls,High School,Criteria-Based,906,895,18.2,14.8,25.5,14.4,35.8,1.6,70.6,Insufficient Sample,78.2,25,66.2,35,91.9,40.4,77.3,95.7,84.8,7.7,92.3,83.7
2022-2023,6060,Martin Luther King High School,High School,Catchment,558,494,1.3,74.6,15.9,73.1,9,35.2,15.5,Insufficient Sample,69.3,75,34.8,34,84.2,17,20,57.5,88.6,20.5,79.5,91.7
2022-2023,6090,A. Philip Randolph Career and Technical High School,High School,Citywide,400,393,1.1,55.4,1.2,73.2,4.9,31,23,46,77.9,30.8,41.8,14,86.8,17.1,16.9,79.6,87.9,7.1,89.3,91.2
2022-2023,6460,Hill-Freedman World Academy,High School,Criteria-Based,431,423,12.7,40.9,18.3,28.2,19.7,0,81.7,Insufficient Sample,78,33.3,71,5,91,13.3,40.7,73.9,94.8,20.9,76.7,78
2022-2023,6540,Lankenau High School,High School,Criteria-Based,344,337,17.9,17,25.5,19.2,42.6,6.3,74.7,Insufficient Sample,82.6,75,68.9,2,95.4,6.2,67.1,100,95.5,62.5,37.5,77.3
2022-2023,7010,Frankford High School,High School,Catchment,1223,917,0,65,5.8,68.9,5.8,36.1,19.8,50,60.7,58.3,34.8,92,91.6,29.8,29.5,59.2,85.7,1.5,97,82.9
2022-2023,7060,Olney High School,High School,Catchment,1418,1169,3.4,46.5,9.9,58.1,10,32.3,26,Insufficient Sample,83.2,Insufficient Data for Score,40.3,53,85.6,27.2,Insufficient Sample,83.7,79.6,3.5,89.7,81.4
2022-2023,7120,Samuel Fels High School,High School,Catchment,1245,1047,1.2,58.7,3.2,57.9,9.7,29,27.6,Insufficient Sample,63,58.3,43.9,129,92.7,26.1,27.5,67.8,87.5,0,94.8,84.2
2022-2023,8010,Abraham Lincoln High School,High School,Catchment,2363,2167,6,42.6,17.3,50.3,18.2,29.2,32.3,52.4,62,38.5,47.4,148,88.1,26.2,40.1,67.3,84.4,2.5,90.8,84.6
2022-2023,8020,Northeast High School,High School,Catchment,3452,3354,20.8,33.3,33.9,33.1,36.4,19,53.6,Insufficient Sample,70.9,58.3,58.8,235,89.1,45.8,62.3,78,87.9,26.2,73.2,92.5
2022-2023,8030,George Washington High School,High School,Catchment,2074,1702,10.4,33.6,26,46.1,19.8,20.5,35.8,90.9,60.6,38.5,61.6,167,92,35.7,42.9,71.8,82.4,7.5,90.4,84
2022-2023,8040,Arts Academy at Benjamin Rush,High School,Criteria-Based,618,616,30.8,9.8,39.2,7.6,49.7,0,86.9,Insufficient Sample,98.7,41.7,75.9,1,99.2,59.4,75.8,100,87.9,20.7,79.3,91.2
2022-2023,8090,Swenson Arts and Technology High School,High School,Citywide,778,772,9.4,35.2,14.1,36.1,23.9,17.1,56.7,70,89.9,53.9,64.5,8,96.5,42.2,45,98,93.1,8.5,89.4,89.5
2022-2023,8560,The Workshop School,High School,Citywide,204,195,0,60.5,0,77.8,8.3,15.8,21.1,Insufficient Sample,Insufficient Sample,50,78.4,9,96.1,45.7,30.3,84.2,100,18.2,81.8,89.5
2022-2023,8780,Philadelphia Virtual Academy,High School,Insufficient Sample,522,403,13.2,22.9,35.7,34.5,43.1,8.9,55.4,Insufficient Sample,72.9,80,77.8,52,99.8,19.4,20.7,54.6,76.5,Insufficient Sample,Insufficient Sample,Insufficient Sample
